;hash-rate
10/01/2009 00:00;1.07E-07
13/01/2009 00:00;1.70435E-06
16/01/2009 00:00;4.31769E-06
19/01/2009 00:00;5.55335E-06
22/01/2009 00:00;5.68117E-06
25/01/2009 00:00;5.61016E-06
28/01/2009 00:00;6.15697E-06
31/01/2009 00:00;6.80321E-06
03/02/2009 00:00;5.8303E-06
06/02/2009 00:00;6.19958E-06
09/02/2009 00:00;6.36291E-06
12/02/2009 00:00;6.36291E-06
15/02/2009 00:00;6.41262E-06
18/02/2009 00:00;6.22799E-06
21/02/2009 00:00;6.19958E-06
24/02/2009 00:00;5.85871E-06
27/02/2009 00:00;5.53914E-06
02/03/2009 00:00;5.3403E-06
05/03/2009 00:00;5.27639E-06
08/03/2009 00:00;5.37581E-06
11/03/2009 00:00;5.47523E-06
14/03/2009 00:00;5.54625E-06
17/03/2009 00:00;5.69538E-06
20/03/2009 00:00;5.809E-06
23/03/2009 00:00;5.44683E-06
26/03/2009 00:00;5.43262E-06
29/03/2009 00:00;5.61016E-06
01/04/2009 01:00;5.73799E-06
04/04/2009 01:00;5.74509E-06
07/04/2009 01:00;5.75219E-06
10/04/2009 01:00;5.48233E-06
13/04/2009 01:00;5.37581E-06
16/04/2009 01:00;5.63146E-06
19/04/2009 01:00;5.88712E-06
22/04/2009 01:00;5.90132E-06
25/04/2009 01:00;5.64567E-06
28/04/2009 01:00;5.48943E-06
01/05/2009 01:00;5.8303E-06
04/05/2009 01:00;5.94393E-06
07/05/2009 01:00;6.2706E-06
10/05/2009 01:00;5.95813E-06
13/05/2009 01:00;5.53204E-06
16/05/2009 01:00;5.61016E-06
19/05/2009 01:00;6.25639E-06
22/05/2009 01:00;5.67407E-06
25/05/2009 01:00;4.28218E-06
28/05/2009 01:00;4.43842E-06
31/05/2009 01:00;5.39001E-06
03/06/2009 01:00;5.09885E-06
06/06/2009 01:00;4.09755E-06
09/06/2009 01:00;2.71986E-06
12/06/2009 01:00;3.03233E-06
15/06/2009 01:00;4.09755E-06
18/06/2009 01:00;3.97682E-06
21/06/2009 01:00;3.93421E-06
24/06/2009 01:00;3.97682E-06
27/06/2009 01:00;3.99813E-06
30/06/2009 01:00;3.80639E-06
03/07/2009 01:00;3.8561E-06
06/07/2009 01:00;4.04784E-06
09/07/2009 01:00;3.95552E-06
12/07/2009 01:00;3.97682E-06
15/07/2009 01:00;3.90581E-06
18/07/2009 01:00;3.46552E-06
21/07/2009 01:00;2.71276E-06
24/07/2009 01:00;2.86899E-06
27/07/2009 01:00;3.01812E-06
30/07/2009 01:00;2.46421E-06
02/08/2009 01:00;1.4345E-06
05/08/2009 01:00;1.30667E-06
08/08/2009 01:00;2.74827E-06
11/08/2009 01:00;4.12595E-06
14/08/2009 01:00;3.92001E-06
17/08/2009 01:00;2.99682E-06
20/08/2009 01:00;1.74696E-06
23/08/2009 01:00;8.10E-07
26/08/2009 01:00;9.80E-07
29/08/2009 01:00;1.55522E-06
01/09/2009 01:00;3.25247E-06
04/09/2009 01:00;3.82059E-06
07/09/2009 01:00;3.60044E-06
10/09/2009 01:00;3.32349E-06
13/09/2009 01:00;3.3661E-06
16/09/2009 01:00;3.30218E-06
19/09/2009 01:00;3.55073E-06
22/09/2009 01:00;3.56494E-06
25/09/2009 01:00;3.18146E-06
28/09/2009 01:00;3.55073E-06
01/10/2009 01:00;4.42421E-06
04/10/2009 01:00;4.01233E-06
07/10/2009 01:00;3.30218E-06
10/10/2009 01:00;2.96131E-06
13/10/2009 01:00;3.25247E-06
16/10/2009 01:00;3.46552E-06
19/10/2009 01:00;3.11044E-06
22/10/2009 01:00;3.99102E-06
25/10/2009 01:00;4.29639E-06
28/10/2009 00:00;3.79928E-06
31/10/2009 00:00;3.22407E-06
03/11/2009 00:00;2.47841E-06
06/11/2009 00:00;2.49972E-06
09/11/2009 00:00;2.9187E-06
12/11/2009 00:00;3.29508E-06
15/11/2009 00:00;3.53653E-06
18/11/2009 00:00;4.11175E-06
21/11/2009 00:00;4.28929E-06
24/11/2009 00:00;4.24668E-06
27/11/2009 00:00;4.40291E-06
30/11/2009 00:00;4.06204E-06
03/12/2009 00:00;3.74247E-06
06/12/2009 00:00;3.42291E-06
09/12/2009 00:00;4.27508E-06
12/12/2009 00:00;4.91422E-06
15/12/2009 00:00;5.35451E-06
18/12/2009 00:00;5.92262E-06
21/12/2009 00:00;7.83292E-06
24/12/2009 00:00;9.00466E-06
27/12/2009 00:00;8.11698E-06
30/12/2009 00:00;7.81161E-06
02/01/2010 00:00;8.04406E-06
05/01/2010 00:00;8.79213E-06
08/01/2010 00:00;9.46716E-06
11/01/2010 00:00;1.0114E-05
14/01/2010 00:00;9.73984E-06
17/01/2010 00:00;9.86754E-06
20/01/2010 00:00;8.87861E-06
23/01/2010 00:00;9.02689E-06
26/01/2010 00:00;1.01213E-05
29/01/2010 00:00;1.13407E-05
01/02/2010 00:00;1.27343E-05
04/02/2010 00:00;1.25625E-05
07/02/2010 00:00;1.51865E-05
10/02/2010 00:00;1.82535E-05
13/02/2010 00:00;1.7332E-05
16/02/2010 00:00;1.83411E-05
19/02/2010 00:00;2.27061E-05
22/02/2010 00:00;2.57771E-05
25/02/2010 00:00;2.93352E-05
28/02/2010 00:00;3.12106E-05
03/03/2010 00:00;3.28936E-05
06/03/2010 00:00;3.2813E-05
09/03/2010 00:00;3.27586E-05
12/03/2010 00:00;3.2889E-05
15/03/2010 00:00;3.15338E-05
18/03/2010 00:00;2.99249E-05
21/03/2010 00:00;3.18556E-05
24/03/2010 00:00;3.76756E-05
27/03/2010 00:00;4.24113E-05
30/03/2010 01:00;4.27935E-05
02/04/2010 01:00;4.61957E-05
05/04/2010 01:00;4.86872E-05
08/04/2010 01:00;5.06921E-05
11/04/2010 01:00;5.54027E-05
14/04/2010 01:00;6.63305E-05
17/04/2010 01:00;7.56771E-05
20/04/2010 01:00;8.13544E-05
23/04/2010 01:00;8.77125E-05
26/04/2010 01:00;8.8056E-05
29/04/2010 01:00;9.42768E-05
02/05/2010 01:00;9.43582E-05
05/05/2010 01:00;9.16474E-05
08/05/2010 01:00;9.10532E-05
11/05/2010 01:00;8.98793E-05
14/05/2010 01:00;8.43132E-05
17/05/2010 01:00;7.52796E-05
20/05/2010 01:00;8.44957E-05
23/05/2010 01:00;9.91217E-05
26/05/2010 01:00;0.00011405
29/05/2010 01:00;0.000120973
01/06/2010 01:00;0.00012976
04/06/2010 01:00;0.000127356
07/06/2010 01:00;0.000117784
10/06/2010 01:00;0.000124629
13/06/2010 01:00;0.000130446
16/06/2010 01:00;0.000138394
19/06/2010 01:00;0.000133803
22/06/2010 01:00;0.00013911
25/06/2010 01:00;0.000144811
28/06/2010 01:00;0.000151005
01/07/2010 01:00;0.000160402
04/07/2010 01:00;0.000172253
07/07/2010 01:00;0.000183617
10/07/2010 01:00;0.000189097
13/07/2010 01:00;0.000259352
16/07/2010 01:00;0.000805162
19/07/2010 01:00;0.001949189
22/07/2010 01:00;0.002140111
25/07/2010 01:00;0.001661809
28/07/2010 01:00;0.001904713
31/07/2010 01:00;0.002053183
03/08/2010 01:00;0.002355142
06/08/2010 01:00;0.002681185
09/08/2010 01:00;0.002892422
12/08/2010 01:00;0.003194117
15/08/2010 01:00;0.003753793
18/08/2010 01:00;0.004180413
21/08/2010 01:00;0.004148963
24/08/2010 01:00;0.004255816
27/08/2010 01:00;0.00511352
30/08/2010 01:00;0.005394517
02/09/2010 01:00;0.00524931
05/09/2010 01:00;0.005082152
08/09/2010 01:00;0.005082152
11/09/2010 01:00;0.00532586
14/09/2010 01:00;0.005644937
17/09/2010 01:00;0.006343348
20/09/2010 01:00;0.007393177
23/09/2010 01:00;0.008280541
26/09/2010 01:00;0.009327179
29/09/2010 01:00;0.00967263
02/10/2010 01:00;0.009998576
