,Returns,Volatility
ABT,0.2888041715621896,0.3029124745846824
ABBV,0.1338474167915272,0.30628694696664227
ABMD,0.12743091548457328,0.46960942829492963
ACN,0.3491974312193919,0.3102711170730855
ATVI,0.3722901828162951,0.3683461306795458
ADBE,0.4036925119754707,0.372240758075677
AMD,0.7929941658300633,0.5623500129980377
AAP,0.13820314699386368,0.37470059911283543
AES,0.3798790219973873,0.4338107789075197
AFL,0.13496897161371385,0.40861615167281845
A,0.3411512389461354,0.30416272342740497
APD,0.3089011947244551,0.33399097470377953
AKAM,0.2947192850310064,0.31818809953759536
ALK,0.2186337954668456,0.5738696397542314
ALB,0.4103849010368806,0.5104491650324462
ARE,0.22105655380297157,0.3069008504378664
ALXN,0.2806578600123471,0.4134052894153177
ALGN,0.6130800994705039,0.5924702966734477
ALLE,0.25524270109324965,0.3448230355963295
LNT,0.1625640599820889,0.2831391446949053
ALL,0.20234081967365522,0.3143018507128893
GOOGL,0.35036098623869233,0.31956272147905634
GOOG,0.3553068162209954,0.3193488658302889
MO,0.06269439887563638,0.30343874104799085
AMZN,0.36000675320559594,0.31170924185531734
AMCR,0.16703299923150872,0.3609148787067538
AEE,0.158957649845936,0.31191339007002583
AAL,0.14049972203373784,0.7595500119475792
AEP,0.10603504490705253,0.2806407501336715
AXP,0.27561703486964106,0.45559063868930805
AIG,0.20052187984219544,0.5096953395554609
AMT,0.24266194060904414,0.32986598067437123
AWK,0.2830266157090966,0.31414250990820164
AMP,0.46917180117736573,0.5034996404569734
ABC,0.26605115623742603,0.34879176356058245
AME,0.34375638422490606,0.341698891103143
AMGN,0.1602162463780523,0.2993689076061649
APH,0.2764964445506606,0.3211482205297759
ADI,0.34515944293685935,0.40334544585863336
ANSS,0.4563735641424044,0.3756582244990027
ANTM,0.24254357694397738,0.4247360137325747
AON,0.25654816684808135,0.3077140673411027
AOS,0.24951649528059058,0.323643487434686
APA,0.2646466682789818,0.9072812695856934
AAPL,0.5742206146083246,0.3739600893718117
AMAT,0.7451119709995626,0.502249217576145
APTV,0.5150201938142926,0.5404326874677462
ADM,0.19582976798131857,0.3106445166683509
ANET,0.2627282883639683,0.4462871461978477
AJG,0.29114467426718477,0.298640414784131
AIZ,0.26765484148731034,0.3582467621381754
T,0.04889690731894798,0.2755430476240659
ATO,0.08856232051301309,0.30416930299765893
ADSK,0.4251064030902951,0.40881470723505803
ADP,0.22085398678071136,0.3323631146462162
AZO,0.2831991707330236,0.32321892804209273
AVB,0.1035624575435267,0.3587976747571424
AVY,0.38589168545138436,0.3702467336406132
BKR,0.15316531475524686,0.5313984516308845
BLL,0.33499744398680614,0.31452089490931157
BAC,0.2887129374209499,0.43282695387503867
BK,0.06800898832816117,0.37370255128809454
BAX,0.15560448832369947,0.28753286582097776
BDX,0.0869560371157436,0.29041659532906083
BBY,0.4325197821011014,0.4306853417268965
BIO,0.47297041236802634,0.3576394376569783
BIIB,0.11794551189636986,0.5654831488286417
BLK,0.35921898527686985,0.3586374941850677
BA,0.09341196493591333,0.6332952649369799
BKNG,0.21776887693665797,0.40864861001207675
BWA,0.2121489901406542,0.4204544139851791
BXP,0.05337193752362028,0.41685622136694056
BSX,0.11152641994682597,0.3452796854989294
BMY,0.12017464716983554,0.2715965302804591
AVGO,0.3577611590738903,0.4168828838595869
BR,0.2536888065330344,0.287200368526055
CHRW,0.1067741774235012,0.295726910874838
COG,-0.012621007640637784,0.42080153212067867
CDNS,0.5877898734122725,0.3819003635116087
CZR,0.7956235159746812,0.912575262413376
CPB,0.23867035634049288,0.28658080520380785
COF,0.36023541051124314,0.5220907513556189
CAH,0.20056582265332787,0.3676962465876732
KMX,0.4315455261155728,0.44378400438482146
CCL,0.08764603814873069,0.8494280806788895
CARR,1.3884426789613435,0.5882404767229417
CTLT,0.6334690846693004,0.4139747591753259
CAT,0.3372817032366297,0.3633638956540978
CBOE,0.07103223701282511,0.33990070663476685
CBRE,0.40967263649797964,0.45713365238346115
CDW,0.4041450076395721,0.38446077096773407
CE,0.30509121883970325,0.4058736294029303
CNC,0.15130024523749447,0.43997600461246406
CNP,-0.0032998852114204886,0.42354507682040693
CERN,0.17906737114702811,0.25966493764067644
CF,0.14088550434726904,0.4606755582592474
SCHW,0.2892383259261797,0.4230194455794041
CHTR,0.3835080010647701,0.295315404127142
CVX,0.07211732409535422,0.43693464481966077
CMG,0.5963069630105567,0.3927856589784554
CB,0.15969662823938274,0.35401132625647747
CHD,0.17044751305146305,0.2640451408167087
CI,0.20245376405314502,0.4205792238735191
CINF,0.2277317295475265,0.42352385265052933
CTAS,0.3931547792417891,0.3868931566817889
CSCO,0.1379108829210271,0.33156341191411975
C,0.2590655743239927,0.4928337219951303
CFG,0.3198735265976376,0.5540451856941943
CTXS,0.1904675646857841,0.3134630849686575
CLX,0.14482591566449254,0.268709159085583
CME,0.10694317851791799,0.3549154314525365
CMS,0.14612051097923082,0.28458195288998606
KO,0.08749640047867349,0.2662515050690829
CTSH,0.16374173987955112,0.36927377143756585
CL,0.15691337243671152,0.24408661578607477
CMCSA,0.24716792823580044,0.2998017470890221
CMA,0.16814496695494757,0.5551520517506212
CAG,0.3108239416826815,0.3418853128683214
COP,0.06619441526697292,0.5395575320637047
ED,0.041846526203569316,0.29681412660584644
STZ,0.2154799631485871,0.3698631248243416
COO,0.2380714305511486,0.30704123683501744
CPRT,0.42472627215299996,0.3389808687974238
GLW,0.2496297131052567,0.4043450450141976
CTVA,0.35943063279866727,0.45197433475848764
COST,0.2689797669835792,0.23191891678896215
CCI,0.26802747243397507,0.32093788681934465
CSX,0.25962596333633514,0.35207807349707565
CMI,0.35511451239039515,0.34550206097458624
CVS,0.11416498158020798,0.3250018305469949
DHI,0.517267658460221,0.45282778327737366
DHR,0.3985724291893492,0.27856887671124436
DRI,0.32516466542851025,0.5823099834543128
DVA,0.3926550522330893,0.36163742085428446
DE,0.4829254643802818,0.3717550362565936
DAL,0.15008510846096268,0.5734578041916006
XRAY,0.30642347337397546,0.38724625293501086
DVN,0.24564984220911676,0.7275871358546472
DXCM,0.633184897350642,0.5044685789911254
FANG,0.1922216446842378,0.764029016339844
DLR,0.19311797292918004,0.330137776323498
DFS,0.38973507313261935,0.594419704783576
DISCA,0.3550414373591349,0.4875507963783341
DISCK,0.31361673124467926,0.4762467563273072
DISH,0.2718192784684312,0.4927072627265127
DG,0.3176563091797172,0.2684448647974449
DLTR,0.1736513468481007,0.3786574799042143
D,0.0814904241097923,0.32408233367480993
DPZ,0.24641430191228883,0.35780485057171824
DOV,0.35425632039915866,0.3506428918799355
DOW,0.2490641068272407,0.49866636435537487
DTE,0.15086055040324056,0.3359614805824162
DUK,0.10198931814609966,0.2959893361335365
DRE,0.2865085967329601,0.33540649054063737
DD,0.09079029120472738,0.4315083785235559
DXC,0.021932459961165596,0.7362587101960401
EMN,0.2640959406484821,0.40165785695759343
ETN,0.38647702334228656,0.386600748650795
EBAY,0.3867715638351902,0.31893011175213287
ECL,0.23576997865400579,0.353224267006027
EIX,0.07892213195237464,0.35883647362458554
EW,0.2938267342460025,0.35406382240049084
EA,0.2969704334922865,0.35975531981423475
EMR,0.26360378753041663,0.39677927789365336
ENPH,1.9544322018649882,0.8939150271936317
ETR,0.1323220352468953,0.33630344979079807
EOG,0.07565049600647443,0.5829944951021035
EFX,0.3483925882774744,0.3199264282082388
EQIX,0.34756370173051976,0.32130134088722434
EQR,0.11768639288006892,0.3623464193785857
ESS,0.12841250419920272,0.3620752057205664
EL,0.41181727057773415,0.34391098126179726
ETSY,0.8465047588384293,0.6264700522672493
EVRG,0.09038469497200279,0.35149517972573996
ES,0.19092260899660202,0.32487190777553526
RE,0.1318506762964585,0.36162254734286614
EXC,0.058069219943658074,0.3514329862506839
EXPE,0.3420850550889506,0.5425577980116154
EXPD,0.2451063509616144,0.2662565913061265
EXR,0.23308381895445032,0.3061447491911436
XOM,-0.021103526492266222,0.3948705254244313
FFIV,0.17244150557881316,0.33871638979963586
FB,0.41601827408229464,0.37442930874176006
FAST,0.3556883132366384,0.3380242506961303
FRT,0.05122290993680187,0.47336224609519156
FDX,0.3373142127998287,0.4229684883633123
FIS,0.2036382287100765,0.33958339254455266
FITB,0.33792279297821104,0.5335516560759427
FE,0.04813091013878093,0.3769286489129368
FRC,0.3564415310862417,0.37103271632564405
FISV,0.28739250094547775,0.35773109518598134
FLT,0.24628167134954781,0.40446262780085995
FLIR,0.2145517983052167,0.43224327787322103
FMC,0.31502210296571453,0.3945590286336544
F,0.29254501772528646,0.44356099809797045
FTNT,0.5302859068068735,0.4402559653198686
FTV,0.16302881925791002,0.3530818994608625
FBHS,0.5006299487864523,0.43209095161346245
FOXA,0.06562515793202205,0.4256616351623956
FOX,0.029478902492333266,0.41421031885567944
BEN,0.08518710476703201,0.42073737544003825
FCX,0.6917869035771556,0.5938245875915263
GPS,0.31146234365474224,0.7066426251303277
GRMN,0.3807908331514243,0.3115221220904416
IT,0.24141625516235837,0.3869577927860575
GNRC,0.9288187467474593,0.443464132077348
GD,0.1109205965552763,0.30546092090844995
GE,0.3706963801642945,0.5202304817691781
